MapName,Region,StyleName,StyleID,IsPrivateStyle,user,LatMin,LatMax,LonMin,LonMax,Zoom,TileSize,PixWidth,PixHeight,PixScaleTop,PixScaleBottom,MeterXMin,MeterXMax,MeterYMin,MeterYMax,MapLatMin,MapLatMax,MapLonMin,MapLonMax,MapPixXMin,MapPixXMax,MapPixYMin,MapPixYMax,SurplusArea
Leuven-dark-13_13,Leuven-dark-13,nord-heat,dark-v11,False,cubedsheep,50.74,50.999,4.53,4.831,13,512,3584,5120,6.013052162184922,6.046555669979005,503872.890455883,538116.679127641,6574807.424977722,6623727.123080235,50.736455137010665,51.01375465718819,4.52636718750001,4.833984375000002,2149888,2153472,2785280,2790400,0.086193798749643
Waasmunster-dark-13_13,Waasmunster-dark-13,nord-heat,dark-v11,False,cubedsheep,51.03,51.22,3.945,4.35,13,512,5120,4096,5.98436704825534,6.009033842946394,435385.3131123632,484305.0112148784,6623727.123080235,6662862.881562244,51.01375465718819,51.23440735163459,3.911132812499994,4.350585937500015,2142720,2147840,2790400,2794496,0.2064118220198452
Brussel-overcast_15,Brussel-overcast,overcast,clb2djen400d015okb9quwnpu,True,cubedsheep,50.846417,50.926444,4.174528,4.373972,15,256,5120,3328,3.011225109927613,3.01640239125698,463514.1395213082,487973.988572564,6593152.311766164,6609051.213649482,50.84063582806037,50.93073802371819,4.163818359374995,4.3835449218749885,4291328,4296448,5574400,5577728,0.1937931747758251
Brussel-overcast2_14,Brussel-overcast2,overcast,clb2djen400d015okb9quwnpu,True,cubedsheep,50.846417,50.926444,4.174528,4.373972,14,256,2816,1792,6.022450219855226,6.03280478251396,462291.1470687464,489196.9810251296,6591929.319313601,6609051.213649482,50.83369767098071,50.93073802371819,4.152832031250004,4.394531250000013,2145536,2148352,2787072,2788864,0.3194357968887648
Brussel-overcast3_13,Brussel-overcast3,overcast,clb2djen400d015okb9quwnpu,True,cubedsheep,50.846417,50.926444,4.174528,4.373972,13,256,1536,1024,12.044900439710451,12.06560956502792,459845.16216361895,489196.9810251296,6589483.334408475,6609051.213649482,50.81981826215655,50.93073802371819,4.130859374999988,4.394531250000013,1072640,1074176,1393408,1394432,0.4541307954212208
Leuven-darkheat-13_13,Leuven-darkheat-13,darkheat,cliq4mxhh00qq01r11leyf4od,True,cubedsheep,50.74,50.999,4.53,4.831,13,256,1792,2560,12.026104324369843,12.09311133995801,503872.890455883,538116.679127641,6574807.424977722,6623727.123080235,50.736455137010665,51.01375465718819,4.52636718750001,4.833984375000002,1074944,1076736,1392640,1395200,0.086193798749643
Leuven-darkheat-14_14,Leuven-darkheat-14,darkheat,cliq4mxhh00qq01r11leyf4od,True,cubedsheep,50.74,50.999,4.53,4.831,14,256,3584,4864,6.013052162184922,6.046555669979005,503872.890455883,538116.679127641,6574807.424977722,6621281.138175109,50.736455137010665,50.99992885585966,4.52636718750001,4.833984375000002,2149888,2153472,2785280,2790144,0.038098735525942
Waasmunster-darkheat-14_14,Waasmunster-darkheat-14,nord-heat,cliq4mxhh00qq01r11leyf4od,True,cubedsheep,51.03,51.22,3.945,4.35,14,256,4864,3584,5.98436704825534,6.009033842946394,437831.29801749066,484305.0112148784,6626173.107985361,6660416.896657119,51.02757633780243,51.2206474303833,3.9331054687500093,4.350585937500015,2142976,2147840,2790656,2794240,0.04530745506143341
